X,Y,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID
128.600333013985,35.8700219944861,"1500004600","101",공평네거리,"1",,dgsi,"5","27000","150",,
128.601408012732,35.8737919937792,"1500006500","101",교동네거리,"1",,dgsi,"5","27000","150",,
128.585135012387,35.870495993828,"1500005000","101","-","0",,dgsi,"5","27000","150",,
128.586982013656,35.8676919939672,"1500003600","101","-","0",,dgsi,"5","27000","150",,
128.594066013242,35.8709879933944,"1500005400","101",중앙네거리,"1",,dgsi,"5","27000","150",,
128.594908013366,35.8750619934448,"1500006800","101",대구역네거리,"1",,dgsi,"5","27000","150",,
128.587286013352,35.8700599938116,"1500004700","101",서성네거리,"1",,dgsi,"5","27000","150",,
128.563836013244,35.8657209935377,"1520003200","101","-","0",,dgsi,"5","27000","152",,
128.562901013699,35.8718979929349,"1520004300","101",서대구전화국사거리,"1",,dgsi,"5","27000","152",,
128.574579013205,35.8599999931792,"1500002000","101",내당네거리,"1",,dgsi,"5","27000","150",,
128.573790013405,35.8653529933877,"1500003000","103","-","0",,dgsi,"5","27000","150",,
128.582247013615,35.8705939936874,"1500005200","101",동산네거리,"0",,dgsi,"5","27000","150",,
128.582172012625,35.8734369939669,"1500006100","101","-","0",,dgsi,"5","27000","150",,
128.580091012805,35.8737069938557,"1500006400","101","-","0",,dgsi,"5","27000","150",,
128.588140012837,35.8764269933887,"1500006900","101",태평네거리,"1",,dgsi,"5","27000","150",,
128.581587013179,35.8776269942648,"1500007100","101",달성네거리,"1",,dgsi,"5","27000","150",,
128.577946013761,35.8783419935247,"1500007200","101","-","1",,dgsi,"5","27000","150",,
128.579476013246,35.8704179937549,"1500004900","101",큰장네거리,"1",,dgsi,"5","27000","150",,
128.57125001287,35.875997993649,"1520005100","101","-","1",,dgsi,"5","27000","152",,
128.57134601302,35.8796399943734,"1520005700","101",북비산네거리,"1",,dgsi,"5","27000","152",,
128.563144013603,35.8793109944735,"1520005600","101","-","1",,dgsi,"5","27000","152",,
128.563001013282,35.8757459933859,"1520005000","101","-","0",,dgsi,"5","27000","152",,
128.546860013201,35.8740219944557,"1520004600","101","-","1",,dgsi,"5","27000","152",,
128.54719501316,35.8787879931522,"1520005400","101","-","0",,dgsi,"5","27000","152",,
128.538945013477,35.8743119937071,"1520004700","101",이현네거리,"1",,dgsi,"5","27000","152",,
128.539901012789,35.878535993583,"1520005300","101",이현삼거리,"1",,dgsi,"5","27000","152",,
128.53495201339,35.8783999932669,"1520005200","101","-","0",,dgsi,"5","27000","152",,
128.57114601327,35.8722449939628,"1520004500","101",비산네거리,"1",,dgsi,"5","27000","152",,
128.571003013893,35.8670859933582,"1520003400","101","-","1",,dgsi,"5","27000","152",,
128.549258012705,35.8694009936887,"1520004100","101","-","1",,dgsi,"5","27000","152",,
128.546586012643,35.8689379934844,"1520004000","101",중리네거리,"1",,dgsi,"5","27000","152",,
128.537671012967,35.8686569937118,"1520003900","101",서대구공단네거리,"1",,dgsi,"5","27000","152",,
128.537447013017,35.8587369937168,"1520002100","101",와룡네거리,"1",,dgsi,"5","27000","152",,
128.550523014045,35.862671993093,"1520002700","101","-","0",,dgsi,"5","27000","152",,
128.546116012809,35.8611339937781,"1520002300","101",당산네거리,"0",,dgsi,"5","27000","152",,
128.530633012906,35.8614309935678,"1560002400","101","-","0",,dgsi,"5","27000","152",,
128.599127013516,35.8906379940863,"1540013800","101",경북도청네거리,"1",,dgsi,"5","27000","154",,
